a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpi_call 1.2.1-18
acpica 20210105-1
acpid 2.0.32-2
acpilight 1.2-2
adms 2.3.7-1
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
aegisub 3.2.2-44
aerc-git 0.4.0.r53.g548a5ff-1
akonadi 20.12.1-1
akonadi-calendar 20.12.1-1
akonadi-contacts 20.12.1-1
akonadi-import-wizard 20.12.1-1
akonadi-mime 20.12.1-1
akonadi-notes 20.12.1-1
akonadi-search 20.12.1-1
akregator 20.12.1-1
alacritty 0.7.1-1
alembic 1.7.16-1
alsa-card-profiles 14.1-2
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-tools 1.2.2-1
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
amtk 5.2.0-2
android-tools 30.0.5-1
ant 1.10.9-1
aom 2.0.1-1
apm 2.6.1-1
appimagetool-bin 12-1
appstream 0.13.1-1
appstream-qt 0.13.1-1
apr 1.7.0-3
apr-util 1.6.1-8
aqbanking 6.2.5-1
arandr 0.1.10-5
archlinux-keyring 20210110-1
ardour 6.5-1
argon2 20190702-3
aribb24 1.0.3-3
ark 20.12.1-1
asciidoc 9.0.4-2
aspell 0.60.8-2
aspell-en 2019.10.06-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
atom 1.54.0-1
atool 0.39.0-7
attica 5.78.0-1
attr 2.4.48-3
aubio 0.4.9-9
audacious 4.0.5-1
audacious-plugins 4.0.5-1
audacity 1:2.4.1-4
audit 2.8.5-9
augeas 1.12.0-2
autoconf 2.70-1
autoconf-archive 1:2019.01.06-4
automake 1.16.2-3
autorandr 1.11-2
avahi 0.8+15+ge8a3dd0-3
avidemux-cli 2.7.6-2
avidemux-qt 2.7.6-2
avr-binutils 2.35.1-1
avr-gcc 10.2.0-1
avr-gdb 10.1-2
avr-libc 2.0.0-4
avrdude 1:6.3-7
babl 0.1.82-1
baloo 5.78.0-1
baloo-widgets 20.12.1-1
balsa 2.6.2-1
bash 5.1.004-1
bash-completion 2.11-1
bc 1.07.1-4
bcg729 1.0.4-5
bind 9.16.10-1
binutils 2.35.1-1
bison 3.7.2-1
blas 3.9.0-3
blosc 1.20.1-1
bluez 5.55-1
bluez-libs 5.55-1
bolt 0.9.1-1
boost 1.75.0-2
boost-libs 1.75.0-2
breeze 5.20.5-1
breeze-icons 5.78.0-1
bridge-utils 1.7-1
brltty 6.1-5
broot 1.2.0-1
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.9-3
bubblewrap 0.4.1-1
buildah 1.19.0-1
bullet 3.08-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.60.1-1
ca-certificates-utils 20181109-4
cabextract 1.9.1-2
cage 0.1.2.1-2
cairo 1.17.4-3
cairomm 1.12.2-4
calendarsupport 20.12.1-1
calibre 5.9.0-1
cantarell-fonts 1:0.301-1
cblas 3.9.0-3
cdparanoia 10.2-8
celt 0.11.3-4
celt0.5.1 0.5.1.3-5
ceph-libs 15.2.6-4
cgal 4.14.3-1
cgit 1.2.3-1
chmlib 0.40-6
chromaprint 1.5.0-3
chromium 87.0.4280.141-1
chrono-date 3.0.0-2
cifs-utils 6.11-3
clang 11.0.1-1
claws-mail 3.17.8-1
clazy 1.9-1
clementine 1.4.0rc1+347+gfc4cb6fc7-1
clipmenu 6.2.0-1
clipnotify 1.0.2-2
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gtk 1.8.4-2
cmake 3.19.3-1
cmark-gfm 0.29.0.gfm.0-2
cmst 2020.11.01-1
cni-plugins 0.9.0-4
cogl 1.22.8-1
colord 1.4.5-1
compface 1.5.2-9
compiler-rt 11.0.1-1
confuse 3.3-3
conmon 1:2.0.24-1
connman 1.38-1
connman-gtk 1.1.1-2
containerd 1.4.3-1
containers-common 0.33.1-1
convertlit 1.8-10
coreutils 8.32-1
cpupower 5.10-2
cracklib 2.9.7-2
crun 0.16-1
crypto++ 8.4.0-1
cryptsetup 2.3.4-1
ctags 1:r20200106+ga3c87ab5-1
ctemplate 2.4-1
ctpl 0.3.4-4
cudatext-gtk2-bin 1.119.0.0-1
cups 1:2.3.3op1-1
cups-filters 1.28.7-1
cups-pdf 3.0.1-5
curl 7.74.0-1
dante 1.4.2-4
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
ddclient 3.9.1-1
deno 1.6.1-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhcp 4.4.2-2
dhcpcd 9.4.0-1
diffutils 3.7-3
digikam 7.1.0-5
discount 2.2.7-1
djvulibre 3.5.28-1
dkms 2.8.4-1
dmenu 5.0-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dolphin 20.12.1-1
dosbox 0.74.3-2
dosfstools 4.1-3
double-conversion 3.1.5-2
doxygen 1.9.1-1
drawio-desktop 14.1.8-1
dtc 1.6.0-3
e2fsprogs 1.45.6-3
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.4-1
efibootmgr 17-2
efivar 37-4
efl 1.25.1-4
egl-wayland 1.1.6-1
eglexternalplatform 1.1-2
electron 11.2.0-1
electron6 6.1.12-3
element-desktop 1.7.16-1
element-web 1.7.16-1
elfutils 0.182-1
elinks 0.14.0-1
elisa 20.12.1-1
ell 0.36-1
emacs 27.1-3
embree 3.12.1-1
encfs 1.9.5-2
enchant 2.2.13-2
esy 0.6.6-1
evolution-data-server 3.38.3-1
exa 0.9.0-2
exiv2 0.27.3-1
